# Program:featureCounts v2.0.3; Command:"featureCounts" "-t" "exon" "-g" "gene_id" "-O" "-s" "2" "-J" "-R" "BAM" "-p" "--ignoreDup" "-M" "--fraction" "-T" "16" "-G" "./reference/Saccharomyces_cerevisiae.R64-1-1.106.fa" "-p" "--countReadPairs" "-a" "./reference/Saccharomyces_cerevisiae.R64-1-1.106.gtf" "-o" "./read_counts_v2/read_counts_table" "./dedup_v2/VM-1_S1_L001.sorted.dedup.bam" "./dedup_v2/VM-2_S2_L001.sorted.dedup.bam" "./dedup_v2/VM-3_S3_L001.sorted.dedup.bam" "./dedup_v2/VM-4_S4_L001.sorted.dedup.bam" 
Geneid	Chr	Start	End	Strand	Length	./dedup_v2/VM-1_S1_L001.sorted.dedup.bam	./dedup_v2/VM-2_S2_L001.sorted.dedup.bam	./dedup_v2/VM-3_S3_L001.sorted.dedup.bam	./dedup_v2/VM-4_S4_L001.sorted.dedup.bam
YPL141C	XVI	283464	286061	-	2598	2145.05	2458.25	2761.93	3654.42
tF(GAA)P1	XVI;XVI	560198;560253	560233;560289	-;-	73	37.67	14	28.17	32.33
YPR144C	XVI	819765	821423	-	1659	2884.12	1122.12	3289.36	1682.07
YPL249C-A	XVI;XVI	75699;76224	75985;76239	-;-	303	6834.85	3728	7618.50	4633.25
YPR128C	XVI	791218	792204	-	987	923	571	930	700
YPR054W	XVI	666280	667446	+	1167	6.83	2.97	7.83	4.02
YPL156C	XVI	255913	256767	-	855	587	7892.42	796	10548.93
YPL173W	XVI	223143	224036	+	894	468.50	170	510.50	281.10
YPR098C	XVI;XVI	728947;729482	729385;729528	-;-	486	785.50	840.50	843.50	1107
YPL260W	XVI	49303	50958	+	1656	2374.09	1697.92	2557.73	2589.12
YPL251W	XVI	73625	73927	+	303	1	1	3	2
YPL016W	XVI	521014	524958	+	3945	4692.89	2989.13	5213.99	4201.13
YPR095C	XVI	721037	724717	-	3681	1642.25	1254.50	1753.50	1780.38
YPR079W	XVI	698869	700014	+	1146	850.50	753.25	950	1046
YPR010C	XVI	577585	581196	-	3612	11303.67	4193.42	11659.00	5763.17
YPL046C	XVI	466644	466943	-	300	63	31.50	80	67
YPL021W	XVI	511101	511664	+	564	1.06	0	1	0
YPL268W	XVI	35236	37845	+	2610	1523.27	926.75	1762.33	1428.21
YPL283C	XVI;XVI	280;5989	5840;6007	-;-	5580	485.63	538.17	492.46	760.35
YPL206C	XVI	162632	163597	-	966	699	497	767	689
YPR055W	XVI	667676	670873	+	3198	2046.11	1324.17	2312.77	2107.86
YPR138C	XVI	810984	812453	-	1470	1746.32	990.33	1746.35	1375.92
YPL243W	XVI	88517	90316	+	1800	2960	1990	3627.10	2761
YPR127W	XVI	790083	791120	+	1038	262.25	198.50	259.50	250.62
YPL095C	XVI	368071	369441	-	1371	275	178	342.25	277
YPR027C	XVI	620425	621258	-	834	4.70	158.10	13.15	303.59
YPL232W	XVI	107275	108147	+	873	1640.25	1728.56	2035.37	2524.22
YPL124W	XVI	316755	317516	+	762	32	50.50	39.50	57.50
YPR041W	XVI	648704	649921	+	1218	3115.50	1476.50	3277.75	2083.33
YPL083C	XVI	396702	398105	-	1404	607.79	382.00	730.50	562.36
YPL048W	XVI	464401	465648	+	1248	6043.71	3974.50	5455.90	4924.88
YPL120W	XVI	322071	323744	+	1674	506.61	342.48	585.83	477.43
YPL117C	XVI	327864	328730	-	867	2490.71	1622	3173.75	2307
YPR126C	XVI	789077	789385	-	309	2	1	1	2
YPR091C	XVI	716156	718468	-	2313	2808.67	1870	2841.31	2705.30
YPR059C	XVI	674314	674700	-	387	39	30.50	57.50	41.06
YPL214C	XVI	148569	150191	-	1623	684.50	643	685	862
YPL203W	XVI	166256	167398	+	1143	846.25	1281.50	980.04	1874.10
YPL273W	XVI	25087	26064	+	978	4212.21	1813.11	5015.65	2494.87
YPR081C	XVI	702114	703970	-	1857	503	580.93	523	789.05
YPL011C	XVI	533642	534703	-	1062	792.50	555	1056	820
YPR097W	XVI	725394	728615	+	3222	2283.54	1533.31	2397.55	2143.72
YPL274W	XVI	22938	24701	+	1764	1557.57	1125.75	1407.11	1423.29
YPR158W	XVI	843262	844020	+	759	691	818.50	898	1089.31
YPL050C	XVI	460779	461966	-	1188	4136.50	2562	4931.00	3558
YPR114W	XVI	753301	754248	+	948	2101.06	921	1844	1267.25
YPL110C	XVI	341068	344739	-	3672	1884.67	2644.00	2066.69	3651.50
YPL161C	XVI	244319	246220	-	1902	635.54	431.45	704.14	626.90
YPR022C	XVI	603911	607312	-	3402	3981.59	2161	4158.64	3032.35
tT(UGU)P	XVI	744284	744355	+	72	1.17	0.17	0.83	0.83
YPR175W	XVI	888974	891043	+	2070	879.75	574	1009.83	799.05
YPL068C	XVI	424215	425096	-	882	1337.50	740.50	1629	1231
YPL055C	XVI	453992	454990	-	999	914	826	1010	1029.50
YPL079W	XVI;XVI	406636;407068	406646;407539	+;+	483	6162.54	2877.08	6758.79	3882.54
YPL150W	XVI	268188	270893	+	2706	1574.03	983	1704.62	1424.79
YPR192W	XVI	921860	922777	+	918	5	17	7	17
YPL226W	XVI	121767	125357	+	3591	11516.60	4150.84	12102.35	5877.42
YPL115C	XVI	332100	335486	-	3387	2648.25	2289	3047.81	3302.50
YPL283W-A	XVI	1426	2001	+	576	0.27	0.25	0	0
YPL170W	XVI	228314	228772	+	459	408.10	490.67	441.04	670.04
YPL245W	XVI	85586	86950	+	1365	290.10	180	264.25	207
YPR140W	XVI	814391	815536	+	1146	1230.12	591.23	1257.38	790.42
YPR048W	XVI	659182	661053	+	1872	773.17	387.50	788.43	550
YPR102C	XVI	731224	731748	-	525	5723.46	2657.89	6066.22	3662.17
YPL036W	XVI	482843	485686	+	2844	328.62	184	325.41	282.44
YPR015C	XVI	590283	591026	-	744	131.57	85	165	127
YPR133W-A	XVI	797557	797709	+	153	471	220	555	315
YPL146C	XVI	276162	277529	-	1368	867	295.57	1004	460.21
YPR107C	XVI	741438	742064	-	627	390	314	448.17	471
YPL035C	XVI	486564	486911	-	348	1	1	1	1
YPL082C	XVI	398480	404083	-	5604	4758.00	3429.17	5280.60	4823.26
YPR064W	XVI	678951	679370	+	420	8	0.10	8	3.50
YPL216W	XVI	143821	147129	+	3309	317.07	218.80	409.40	317.19
YPL152W	XVI	265028	266104	+	1077	614	560	735.17	828.17
YPL230W	XVI	115312	116487	+	1176	348.14	362.78	408.11	519
YPL159C	XVI	250907	251668	-	762	986.25	1178.25	1207.50	1691
YPR183W	XVI	900755	901558	+	804	5123.62	3736.62	4909.33	4820.33
YPL204W	XVI	164276	165760	+	1485	4072.12	3667.61	4988.04	5116.93
YPL109C	XVI;XVI	345264;345597	345444;347389	-;-	1974	682.75	672.50	746.25	944.30
YPL249C	XVI	76669	79353	-	2685	1298	1337.33	1497.25	1829.25
YPR154W	XVI	834565	835212	+	648	2140.77	3223.74	2233.36	4159.88
YPR026W	XVI	615379	619014	+	3636	1176.79	1281.12	1137.72	1767.08
YPR076W	XVI	696476	696850	+	375	4.25	2.50	7	2.50
YPR170W-B	XVI;XVI	883239;883487	883387;883595	+;+	258	1312.24	1013.61	1497.66	1317.66
YPR016C	XVI	592332	593069	-	738	2609.50	1180	2581.50	1590
YPL060W	XVI	434523	435764	+	1242	342	274	436.17	345.83
YPR029C	XVI	624469	626967	-	2499	2909.21	2505.25	3339.53	3613.58
YPR002C-A	XVI	560569	560766	-	198	21.34	4.30	5.04	8.24
YPL106C	XVI	350194	352275	-	2082	19475.17	9423.92	19908.83	12618.55
YPR085C	XVI	708497	709828	-	1332	560.30	434	656.75	662.08
YPL008W	XVI	539385	541970	+	2586	1151.28	679	1303.17	974.38
YPR152C	XVI	832061	833458	-	1398	84.78	33.58	72.17	66.87
YPL212C	XVI	151515	153149	-	1635	2533	1277.83	2824.75	1839
YPL119C	XVI	324411	326264	-	1854	196.17	185	177.50	242
YPL078C	XVI	408010	408744	-	735	2597.66	1630.88	2921	2328.58
YPL195W	XVI	176223	179021	+	2799	2179.25	1330.61	2733.94	1944.08
YPL025C	XVI	502473	503030	-	558	41.12	16.07	35.37	22.14
YPR060C	XVI	674861	675631	-	771	1215.67	783.50	1651.50	1106
YPL199C	XVI	172033	172755	-	723	1059	537	1063	736
YPL228W	XVI	118382	120031	+	1650	1055.82	715.67	1319.08	1151
YPL018W	XVI	517651	518760	+	1110	241.50	97	235	145
YPL259C	XVI	51244	52671	-	1428	1620	1588	1897	2390
YPR150W	XVI	830999	831520	+	522	63	23	41	39
YPL072W	XVI	418512	420011	+	1500	560.42	280	693	401.93
YPL130W	XVI	304387	305058	+	672	14.06	3.10	5	8.33
YPR179C	XVI	893797	895764	-	1968	851.72	565.58	1142.80	847.76
YPR096C	XVI	724842	725144	-	303	156	134.50	159	154.50
YPL028W	XVI	498096	499292	+	1197	6082.50	4355.75	6375.83	5845.08
YPL174C	XVI	220167	222773	-	2607	1088.50	631.17	1253.33	822
YPR031W	XVI	631515	633761	+	2247	692.40	410.46	792.43	650.80
YPL257W-A	XVI	56748	58070	+	1323	15312.03	10204.06	20308.37	16963.29
YPR158W-A	XVI	844709	846031	+	1323	2091.93	1136.48	2617.99	1834.87
YPL257W-B	XVI	56748	62016	+	5269	73975.18	51419.42	107635.09	87954.02
YPR158C-D	XVI	850989	856257	-	5269	44182.46	29860.82	58351.71	47241.51
YPR137C-A	XVI	808947	810269	-	1323	15719.89	10794.41	18377.35	15655.16
YPR137C-B	XVI	805001	810269	-	5269	35308.18	24107.92	57661.82	46824.83
YPR158W-B	XVI	844709	849980	+	5272	13350.71	10826.14	18242.11	17346.27
YPL060C-A	XVI	437333	442742	-	5410	1005.41	1366.48	1135.42	2066.56
YPR158C-C	XVI	854935	856257	-	1323	2230.31	1457.43	2073.41	1494.42
YMR172W	XIII	605981	608140	+	2160	1680.08	1018	2038.42	1448.75
YMR027W	XIII	325877	327289	+	1413	1402	916	1555	1346
YML089C	XIII	91041	91409	-	369	63	36.50	73.30	64
YMR290C	XIII	850074	851591	-	1518	4333.29	1493	4785.89	2192.50
YMR139W	XIII	546125	547237	+	1113	822	932.25	958	1414
YMR191W	XIII	645656	646777	+	1122	1675	1509	1778	2128.83
YMR244C-A	XIII	758517	758831	-	315	180	120	265.12	210
YMR091C	XIII	450058	451365	-	1308	1037.50	721	1121.57	1064.17
YMR173W-A	XIII	608897	610081	+	1185	1002.79	2171.68	1218.69	3074.48
YMR180C	XIII	622251	623213	-	963	491.62	530.11	613.43	784.25
YML020W	XIII	231149	233143	+	1995	809.50	755	1018.00	1127.50
YML088W	XIII	92235	94241	+	2007	1111.06	1038.50	1167.82	1466.33
YML077W	XIII	111865	112344	+	480	633	344	781	487
YML125C	XIII	20761	21699	-	939	2520.50	1571	2898.17	2110.50
YMR318C	XIII	911061	912143	-	1083	3606.75	2292.83	3594.32	3140.62
YMR115W	XIII	497704	499209	+	1506	765.50	513.12	953	756.40
YMR266W	XIII	798518	801379	+	2862	2413.75	3464.75	2517.06	4888.07
YML057W	XIII	160180	161994	+	1815	2896.77	3605.73	3201.83	4796.78
YML055W	XIII	164790	165326	+	537	352	196.00	386.10	286
YMR105C	XIII	475897	477606	-	1710	737.17	1287.75	749.94	1595.91
YMR268C	XIII	802888	804222	-	1335	424	232.33	523	334.00
YML133W-B	XIII	827	1309	+	483	3.22	0.50	3.57	2.01
YML090W	XIII	90744	91130	+	387	0	0	2.25	1.50
YML101C	XIII	69735	70088	-	354	218	162.50	198	208.83
YMR012W	XIII	291134	294967	+	3834	25751.52	12870.33	28460.29	17356.17
tY(GUA)M2	XIII;XIII	837928;837981	837966;838016	+;+	75	0	0	0	0
YMR202W	XIII	667537	668205	+	669	5520.12	3083.75	5661.75	4069.25
YMR083W	XIII	434788	435915	+	1128	2546.50	1016	2638.75	1425.83
snR76	XIII	297725	297833	+	109	82.50	52	56	59.50
YMR017W	XIII	307489	308682	+	1194	35.67	9.57	25.96	23.33
YML085C	XIII;XIII	97941;99376	99259;99400	-;-	1344	2178.38	2675.62	2199.43	3652.50
YML013W	XIII	244149	245903	+	1755	1221.00	1170	1253.18	1460
YMR224C	XIII	718575	720653	-	2079	673.88	350	682.67	494.35
YMR059W	XIII	391099	391485	+	387	204	132	219.17	148.10
YMR072W	XIII	411569	412120	+	552	2893	2896	3574.50	4109.17
YMR304W	XIII	874987	878679	+	3693	3794.17	3441.75	4345.55	4914
YML087C	XIII	94431	95369	-	939	176	73	193.12	92
YMR195W	XIII	654034	654417	+	384	984.11	398	1322.50	586
YMR240C	XIII	749930	751240	-	1311	278.33	189.25	294.40	290
YMR308C	XIII	888952	892221	-	3270	11366.66	6327.89	12225.79	8950.85
YML001W	XIII	267174	267800	+	627	1717.50	984.17	1987.93	1432.75
YML114C	XIII	42043	43575	-	1533	1367.25	931.50	1734.00	1344.42
YMR319C	XIII	912880	914538	-	1659	671	134	707	192.75
YML075C	XIII	115734	118898	-	3165	12265.40	8337.79	12905.75	10876.17
YMR075W	XIII	413982	416036	+	2055	2188.50	1381.50	2541.43	1959.69
YML129C	XIII	14541	14753	-	213	604	347	659	436
YML073C	XIII;XIII	123227;124158	123742;124172	-;-	531	6382.50	2980.00	6327	3866.15
YMR149W	XIII	560996	561856	+	861	4532.50	2980.70	4793.33	3941.58
YMR233W	XIII	739185	739865	+	681	352.50	291.50	518	487
YMR048W	XIII	366981	367934	+	954	103.25	74	125.06	122
YML030W	XIII	216435	216914	+	480	176.56	57	204.25	93
YMR118C	XIII	502144	502734	-	591	1	15	6.50	19
YMR260C	XIII	789378	789839	-	462	2975.67	1224	3159.50	1719.88
YMR135W-A	XIII	539911	540444	+	534	0	0.33	0.50	1
tM(CAU)M	XIII	572883	572955	-	73	0.60	2	2.20	0.20
YML056C	XIII;XIII	162194;163717	163308;164176	-;-	1575	6705.79	2473.12	6589.33	3225.58
YML064C	XIII	145139	145876	-	738	503.25	442	615	621
YML132W	XIII	7244	8383	+	1140	2800.97	3077.17	3338.62	4443.82
YML113W	XIII	44045	44791	+	747	1647.19	927.50	1686.50	1252.08
YML058W-A	XIII	158760	158966	+	207	18	11	18	26
YMR136W	XIII	541199	542881	+	1683	2536.57	2467.12	2756.88	3081.75
YML091C	XIII	87123	90731	-	3609	4853.81	2781.16	5615.68	4071.67
YMR199W	XIII	662644	664284	+	1641	2953.17	1008	3239.31	1240.50
YMR286W	XIII	841942	842202	+	261	540	243	694	362
YMR025W	XIII	323300	324187	+	888	213.38	157.25	271.17	268.50
YMR112C	XIII	494100	494495	-	396	531	453	750.33	583
YML127W	XIII	17064	18809	+	1746	1148	1099.36	1237.73	1565.92
YML005W	XIII	260221	261609	+	1389	739.25	635.20	833	908.75
YMR160W	XIII	575066	577516	+	2451	1023.00	1016.12	1186.59	1510.50
YMR046W-A	XIII	362702	362830	+	129	44.49	44.73	46.89	48.50
YMR096W	XIII	458408	459301	+	894	584.50	657	526	869
YML133C	XIII;XIII	461;3891	3791;4684	-;-	4125	295.17	252.86	283.92	367.66
YMR246W	XIII	759807	761891	+	2085	6449.45	1603.25	6752.17	2298.58
YMR052C-A	XIII	380069	380434	-	366	13.50	28.67	10.25	36
YMR120C	XIII	507502	509280	-	1779	3459.50	2228.92	3004.88	2410.50
YMR052W	XIII	379586	380200	+	615	240.62	198.05	332	249.75
YML100W-A	XIII	70138	70311	+	174	1	1	0	0
YML049C	XIII	174220	178305	-	4086	3578.95	2410	3791.42	3390.69
YMR065W	XIII	399702	401216	+	1515	377.08	2292	515.58	3248.63
YMR098C	XIII	460771	462609	-	1839	739	323.33	910.50	540.25
YMR302C	XIII	870073	872625	-	2553	2271.50	1440.69	2626.50	2107.65
YMR075C-A	XIII	415688	416053	-	366	2	3	3	2
YML060W	XIII	151871	153001	+	1131	322	120.74	299	171.56
YMR080C	XIII	426712	429627	-	2916	5082.33	2713.10	5187.58	3932.38
YMR156C	XIII	570300	571016	-	717	220	146.50	261	209
YMR294W	XIII	856966	858087	+	1122	115	56	148.25	94
YMR167W	XIII	594886	597195	+	2310	988	619.25	1150.10	827
YMR242W-A	XIII	754297	754386	+	90	0	0	0	0
YMR079W	XIII;XIII	424989;425154	424997;426059	+;+	915	3886.25	2537	4302.25	3437.25
YMR275C	XIII	815651	818581	-	2931	2765.38	2223.50	2816.33	3105.04
YMR100W	XIII	466300	468162	+	1863	1315.50	912.25	1473.14	1239.08
YMR030W-A	XIII	337313	337603	+	291	2.92	1	2.25	0.50
YMR161W	XIII	577718	578392	+	675	465	395	555	568.50
YMR183C	XIII	626921	627808	-	888	2679.04	1767.06	3224.42	2598.50
YML021C	XIII	229734	230813	-	1080	527	429	686	632.50
YML074C	XIII	120089	121324	-	1236	2974.25	1575	3580.75	2162.17
YMR157C	XIII	571277	572044	-	768	513.50	222.17	635.83	341
YMR110C	XIII	490394	491992	-	1599	1560.58	1685.08	1709.25	2453.58
YMR097C	XIII	459424	460527	-	1104	510.33	339.24	630.20	530
YMR111C	XIII	492404	493792	-	1389	551.75	415.20	659.12	555.50
YML011C	XIII	246895	247428	-	534	131.17	69	132.50	128
YMR064W	XIII	397903	399459	+	1557	1835.50	1204.77	2079.93	1639.83
YML082W	XIII	101862	103811	+	1950	1256.25	697	1303	981
YMR300C	XIII	865559	867091	-	1533	2440.25	1285.62	2273.25	1600.25
YMR262W	XIII	793726	794667	+	942	497.50	509	535.50	730.50
YMR031C	XIII	332212	334743	-	2532	1161.32	685.50	1271.96	977.25
YMR016C	XIII	303236	305593	-	2358	4469.25	2254.32	5360.22	3090.60
YMR066W	XIII	401541	404237	+	2697	661.27	408.83	746.92	532.03
YMR007W	XIII	279960	280340	+	381	4	4	14	3
YMR201C	XIII;XIII	665845;667018	666933;667044	-;-	1116	378.07	182.56	435.67	271.17
YMR232W	XIII	736926	738959	+	2034	530	7721.87	718.82	10726.92
YMR200W	XIII	664752	665522	+	771	2406	2702	2811	3698
YMR297W	XIII	861922	863520	+	1599	11321.25	7898.50	11147.50	10332.25
YML026C	XIII;XIII	222987;223782	223380;223828	-;-	441	4937.33	2161.33	5363.50	3053.67
YML023C	XIII	226994	228664	-	1671	799.50	342	740	500.50
YMR143W	XIII;XIII	551928;552496	551951;552903	+;+	432	4247.83	2016.75	4554.25	2654.67
YMR073C	XIII	412268	412873	-	606	1044.40	782.27	1178.43	1133
YML069W	XIII	135500	137158	+	1659	2010.31	1386.42	2390.17	2069.55
YML050W	XIII	173139	174074	+	936	207	128	263.93	152.83
YML099W-A	XIII	74229	74558	+	330	2	6	6	7.50
YMR211W	XIII	689083	690510	+	1428	501	375	559	514
tF(GAA)M	XIII;XIII	352280;352335	352316;352370	+;+	73	1	0	2	0
YMR283C	XIII	835326	836867	-	1542	614.75	362	761.58	566.50
snR74	XIII	298138	298225	+	88	112.17	70.17	89.33	80.83
RNA170	XIII	667288	667456	-	169	11	6	14	7
YML078W	XIII	111002	111550	+	549	890	514.33	871.15	715.50
YMR142C	XIII;XIII	550206;551204	550801;551207	-;-	600	9746.75	5263.06	10974.17	6909.60
YMR203W	XIII	668492	669655	+	1164	9000.97	4711.83	9136.22	6101.55
YMR077C	XIII	421484	422149	-	666	208	114	250	170.50
YMR245W	XIII	758563	759183	+	621	40	24	44	21
YMR284W	XIII	838187	839995	+	1809	469.33	485.25	600	743.83
YMR089C	XIII	445609	448086	-	2478	2414.07	1128.25	2761.00	1614.96
YMR134W	XIII	537838	538551	+	714	718.68	559.75	976.60	791.86
YMR290W-A	XIII	851422	851769	+	348	0.47	1	3.00	6.33
YMR095C	XIII	457285	457959	-	675	179	119.31	145	144.50
snR83	XIII	626349	626654	+	306	7757.73	5998.25	6959.28	6946.54
snR73	XIII	298307	298412	+	106	203.92	102.67	176.83	140.83
tH(GUG)M	XIII	363064	363135	+	72	4.25	0	5	0
YMR099C	XIII	463934	464827	-	894	2948.50	1935	3309	2958.50
YMR132C	XIII	534944	535570	-	627	191.14	137.28	189	190
YML115C	XIII	40187	41794	-	1608	2160.17	1649	2456.99	2153.00
snR11	XIII	652275	652532	+	258	2794.17	1867.50	2365.00	2162.75
YMR086W	XIII	439208	442090	+	2883	2123	1820.17	2277.10	2631.50
YMR044W	XIII	355384	356811	+	1428	265.33	174	255.07	226.25
YMR222C	XIII	715638	716309	-	672	809.25	565	754.25	724.50
YMR272W-A	XIII	810466	810579	+	114	0	0	0	0
YMR321C	XIII	917579	917896	-	318	168	53.50	192	83.33
YML131W	XIII	10198	11295	+	1098	681	551.33	726	747
YML038C	XIII	202775	204103	-	1329	1153.00	941.41	1209.62	1255.44
YML122C	XIII	26038	26418	-	381	23	16	26.50	20.50
YMR036C	XIII	341856	343520	-	1665	797.17	773.25	844.33	1145.17
YML012W	XIII	246116	246751	+	636	1597.08	1035.75	1641.50	1413.12
YML100W	XIII	70624	73920	+	3297	3003.90	3660.92	2981.12	4609.67
YMR312W	XIII	898405	899226	+	822	2929	1421.50	3386.85	1993.50
YML112W	XIII	45063	45953	+	891	800.33	445.20	864	675
YML099C	XIII	74398	77040	-	2643	2019.08	1204.56	2207	1679.06
YML123C	XIII	24037	25800	-	1764	17228.62	4445.25	16999.45	5492.50
tV(AAC)M3	XIII	586636	586709	-	74	6.40	7	4.52	12.10
YMR141C	XIII	549736	550044	-	309	12	8	22	5.56
YMR324C	XIII	922202	922444	-	243	0.08	0	0	0
YMR207C	XIII	677193	683564	-	6372	1891.53	876.81	1931.06	1219.58
YMR236W	XIII	742971	743444	+	474	1056	699	1106	1000
YML034C-A	XIII	209428	209826	-	399	1	3	7	4
YMR204C	XIII	670063	671325	-	1263	306.06	231.75	396.19	325.50
YMR011W	XIII	288079	289704	+	1626	469.40	6004.65	416.56	7981.88
YML008C	XIII	251839	252990	-	1152	6369.05	3266.50	7188.21	4508.83
YMR109W	XIII	486587	490246	+	3660	5964.20	5839.45	6203.33	7507.71
YMR004W	XIII	274017	275552	+	1536	1480.08	1405.67	1816.50	2057.50
YMR158C-A	XIII	573194	573331	-	138	5	10	13	9.50
YMR216C	XIII	698811	701039	-	2229	2055	1553.40	2192.40	2196
YMR159C	XIII	574476	574928	-	453	45	54	49	72.33
YMR307C-A	XIII	887731	887925	-	195	1	0	1.17	0
YMR272C	XIII	809623	810777	-	1155	4154	2521	4265.25	3381
YMR106C	XIII	478301	480190	-	1890	351.30	289.34	378.85	412.07
YML092C	XIII	85987	86739	-	753	3003	2604.08	3581.20	3416
tV(AAC)M2	XIII	420588	420661	-	74	7.90	2	1.52	5.10
YML104C	XIII	58939	62322	-	3384	1139.20	635.25	1100.33	910.82
YML058W	XIII	159383	159697	+	315	4606.83	4316.08	5005.33	5502.92
tW(CCA)M	XIII;XIII	379303;379373	379338;379408	-;-	72	10.67	6.33	9.00	10.00
YMR148W	XIII	560366	560812	+	447	1538.50	1027.50	1633.67	1371.75
YMR168C	XIII	597332	599158	-	1827	563.33	420.62	666.44	590
YML063W	XIII	146482	147249	+	768	14054.50	7838.83	15783.06	10459.08
YMR008C	XIII	280590	282584	-	1995	6789.92	7672.88	6719.08	9640.83
YMR294W-A	XIII	858209	858568	+	360	1	2	0	0
YMR177W	XIII	616566	618098	+	1533	830.83	539	1029.17	755.83
YMR213W	XIII	693381	695153	+	1773	802.92	458	1045.14	674.41
YMR192W	XIII	647118	649280	+	2163	1768.33	1762.60	2148.60	2571.10
YMR326C	XIII	923494	923802	-	309	0	0	0.11	0
YMR014W	XIII	298868	300427	+	1560	1203	481.25	1553.69	673.42
YMR020W	XIII	315377	316903	+	1527	647	985.17	678.20	1360.33
snR86	XIII	762110	763113	-	1004	14815.28	10719.04	14443.87	14161.67
YMR208W	XIII	684467	685798	+	1332	3122.25	2441.94	3445.57	3285.28
YML098W	XIII	77267	77770	+	504	352.56	333.79	448	428.58
YMR133W	XIII;XIII	536207;537565	537448;537609	+;+	1287	3	2	3	6.25
YML028W	XIII	220138	220728	+	591	15155.58	13017.67	16311.81	16452.75
YMR285C	XIII	840144	841691	-	1548	918	560.75	1087.36	806.25
YMR040W	XIII	350381	350863	+	483	73	172.50	82	213
YMR094W	XIII	455825	457261	+	1437	219	172.12	256.50	206.08
YMR189W	XIII	637500	640604	+	3105	5012.08	1591	5338.52	2161.50
YML128C	XIII	15135	16676	-	1542	875.11	1551	911.17	2155.67
YML022W	XIII	228937	229500	+	564	1685	674	1779.75	955.50
YMR299C	XIII	864412	865350	-	939	520	540	629.83	694
YMR227C	XIII	722613	724385	-	1773	458.25	270.42	522.17	385
YMR119W	XIII	505333	507207	+	1875	1437.83	1430	1563.84	1973.92
YMR255W	XIII	778001	778567	+	567	714	740	989	1070
YMR024W	XIII	321875	323047	+	1173	1720	797.50	1994.20	1214
YML054C	XIII	165533	167308	-	1776	351.33	303	318.12	432
YMR317W	XIII	907364	910786	+	3423	86.08	46.50	85.07	65.25
YMR084W	XIII	436628	437416	+	789	46.70	121	30.50	155.50
YMR274C	XIII	814364	815311	-	948	277.33	179	322.40	260
YMR215W	XIII	696796	698370	+	1575	1617.33	1776.20	1690.16	2348.03
YMR277W	XIII	820256	822454	+	2199	2115.17	1106.00	2264.33	1649.58
YMR033W	XIII;XIII	337788;337904	337817;339277	+;+	1404	1306.94	847	1571.33	1285
YML094C-A	XIII	82219	82620	-	402	7	2	6	1.50
YML041C	XIII	194913	195755	-	843	354.08	302.75	477	416
YMR305C	XIII	879063	880232	-	1170	19012.17	29562.96	20304.08	36972.15
YMR315W-A	XIII	904286	904393	+	108	23	49	25	62
YMR237W	XIII	743749	745923	+	2175	3143	2343.50	3326.30	3242
YML095C	XIII	81481	82113	-	633	242	185	301	277.55
YMR018W	XIII	310208	311752	+	1545	54.13	17.76	53.14	29.75
YMR163C	XIII	584271	586388	-	2118	438.41	377.61	460	552.33
YML027W	XIII	221406	222563	+	1158	1125.61	93	1182.25	131
ZOD1	XIII	91970	92027	+	58	0	0	0	0
tD(GUC)M	XIII	463554	463625	+	72	2	1	1.04	4
YMR162C	XIII	578951	583921	-	4971	3958.79	2340.10	4209.71	3372.27
YMR158W	XIII	572248	572715	+	468	1287	477	1668.50	681
YMR210W	XIII	687516	688865	+	1350	356.17	203.25	407.25	300
YMR316C-A	XIII	905662	905973	-	312	31	9	15	9
YMR241W	XIII	751961	752905	+	945	1986.50	966.33	1978.05	1318.50
YMR205C	XIII	671887	674766	-	2880	27692.37	16483.33	27492.81	21631.51
YMR235C	XIII	741512	742735	-	1224	2136.83	978.19	2346.25	1399.08
YMR047C	XIII	363364	366705	-	3342	3497.01	2192.27	3389.50	3065.81
YMR259C	XIII	784621	788883	-	4263	5728.92	2438.62	6107.27	3545.55
YMR175W-A	XIII	611314	611508	+	195	6.50	2.50	3.50	3.50
YMR281W	XIII	832339	833253	+	915	944	777	1085	1125
YMR261C	XIII	790205	793369	-	3165	4789.75	3215.67	4917.24	4609.88
YMR026C	XIII	324236	325435	-	1200	325.17	200	380	314
YML010W	XIII	247677	250868	+	3192	3096.55	1299	3126.25	1873
YMR150C	XIII	561956	562528	-	573	400	256	442.75	339.20
YMR067C	XIII	404323	405573	-	1251	1524.67	1188	1727.98	1669.06
YMR179W	XIII	619858	622134	+	2277	449.77	343.13	539.17	485.43
YMR126C	XIII	520761	521789	-	1029	353	294	398.11	462.43
YML032C	XIII	212515	213930	-	1416	1697.17	1477	1997	2193.00
YML018C	XIII	234771	235952	-	1182	2208.40	1068	2236.33	1429
YML081W	XIII	104777	108532	+	3756	4773.40	2816.52	5308.66	4089.00
YMR003W	XIII	273118	273714	+	597	120	93	158	157.33
YMR221C	XIII	713931	715445	-	1515	4410.75	2912.17	4955.18	3920
YMR257C	XIII	779629	782031	-	2403	912.45	514.98	962.50	666
YML068W	XIII	137550	138944	+	1395	244	195	242.42	297.13
YMR117C	XIII	501250	501891	-	642	50.06	57	66	68.20
